"","x"
"61","Es incomprensible Edmundo, como se puede votar en contra de esto? Ningún político que se salte el protocolo en beneficio propio privándo a una persona vulnerable de una vacuna puede permanecer en su cargo ni un segundo https://t.co/vfg6Ztd33d"
"62","Hay que conocer el nombre de todos los políticos que se han vacunado saltándose los protocolos y apartarlos de sus puestos. En la Región de Murcia y en todas partes. Todavía hay muchos cargos de PSOE, PP y nacionalistas que se vacunaron antes de tiempo y no dimiten. https://t.co/IWOygWjEzH"
"63","Josetxo y Ramón tienen restaurantes a ambos lados del Pirineo.

El Gobierno de Francia les da 10.000€ al mes.

En España, han recibido 2.000€ en toda la crisis.

Qué injusticia cómo trata el Gobierno de Sánchez a los sectores más afectados por la crisis<U+0001F447>https://t.co/CY4tebWphA"
"64","<U+0001F519> Esto preguntaba @Tonicanto1 a Bárcenas en 2017.

Parece que se ha dignado a responder más de tres años después. El PP sigue mirando hacia otro lado... https://t.co/FZkLzc1On9"
"65","Ábalos calla ante mi pregunta sobre el Presidente de AENA que tiene un sillón reservado en la Generalitat si Illa gana las elecciones. 

Otra institución semi pública empleada de plataforma de campaña. 

La independencia de todo lo que rodea a este Gobierno brilla por su ausencia https://t.co/FIkOti0Msw"
"66","Podemos pide al juez que no investigue el caso de la niñera de Iglesias y Montero por ser ""un asunto de índole personal"". <U+0001F926><U+200D><U+2642><U+FE0F>

Es dinero público para uso personal. 

Debe investigarse.  https://t.co/ANlXBL94rJ"
"67","<U+0001F631> PSOE, Podemos y PNV rechazan la propuesta de Cs para cesar a los políticos que aprovecharon su cargo para vacunarse.

<U+2049><U+FE0F> ¿Así es como pretenden garantizar un Plan de Vacunación transparente y ejemplar?

<U+0001F5DE><U+FE0F> https://t.co/kqhQWp1Pbd https://t.co/YKVA91zQUb"
"68","Sólo en las últimas semanas:

<U+0001F535> Bárcenas tira de la manta
<U+0001F534> La presidenta del PSC, imputada
<U+0001F7E1> Caso Voloh (ERC)
<U+26AA><U+FE0F> La candidata de Junts, imputada
<U+0001F7E3> Podemos, hasta el cuello de escándalos

El cambio en Cataluña es un gobierno limpio de Ciudadanos<U+0001F447> https://t.co/JALEF2CnA4"
"69","<U+274C> Es de sentido común y de justicia que las cuentas oficiales del Gobierno de España NO pueden hacer campaña por un partido en Cataluña.

<U+0001F6A8> El PSOE empieza a competir con los nacionalistas en sanciones de la Junta Electoral.

https://t.co/LrtSAxXz0J https://t.co/XXk6kpusmo https://t.co/ep6ZIQXj3o"
"70","<U+2757><U+FE0F> El protocolo #COVID19 está para que lo cumplamos TODOS. 

<U+0001F3DB> Por ello preguntamos al Gobierno sobre el presunto incumplimiento por parte de la Fiscal General del Estado. 

<U+0001F449> Los cargos públicos deben ser responsables y dar ejemplo a la ciudadanía. https://t.co/Bey3i4tnA4"
"71","En Cataluña hace falta cerrar una etapa negra para el turismo marcada por la turismofobia y un procés que ha dañado gravemente la marca turística catalana. Esta tarde hablamos sobre nuestras propuestas #ParaQueGaneElTurismo con @InesArrimadas, @annagrauarias y @MLuzGuilarte. <U+0001F34A> https://t.co/khGWxjeN24"
