"","x"
"62","<U+0001F3D9><U+FE0F> Ley del Territorio y de Urbanismo para un urbanismo sostenible.

<U+0001F91D> Pacto por el desarrollo rural y contra la despoblación para abordar el reto demográfico.

La transición ecológica es una gran oportunidad para mejorar nuestra calidad de vida.

<U+0001F339> @salvadorilla

#PresidentIlla https://t.co/YQxpZaJlqz"
"63","La transición ecológica nos permitirá diseñar una economía más humana<U+0001F91D>
<U+2192> Potenciando: los cuidados, la enseñanza, y la sanidad pública.
<U+2192> Transformando nuestra movilidad: mejorando el transporte público y la peatonalización de los barrios.
 
<U+0001F339> @salvadorilla

#PresidentIlla https://t.co/NOzw8dE2hA"
"64","Cuando hablamos de transición ecológica, hablamos también de creación de empleo <U+0001F469><U+0001F3FB><U+200D><U+0001F692><U+0001F468><U+0001F3FB><U+200D><U+0001F4BB><U+0001F469><U+200D><U+0001F3ED>
 
<U+0001F449>Supondrá la creación de centenares de miles de trabajos altamente calificados.
 
<U+0001F449>Nuevas oportunidades, bien remuneradas, para nuestros jóvenes.
 
<U+0001F339> @salvadorilla
 
#PresidentIlla https://t.co/Tqwxdf9jnv"
"65","Desde Cataluña debemos poner todo nuestro empeño en hacer los deberes.<U+0001F331>
 
Porque queremos ser motor de tecnología verde de <U+0001F1EA><U+0001F1F8> y del sur de <U+0001F1EA><U+0001F1FA>.
 
Compromiso firme: 
Aprobaremos un Nuevo Acuerdo verde (2021-2030) para guiar la transición.
 
<U+0001F339> @salvadorilla
 
#PresidentIlla https://t.co/dA0h6VF8aq"
"66","<U+0001F333>@Teresaribera, siempre has hecho mucha pedagogía de una cuestión fundamental: no tenemos que escoger entre la economía y la ecología.

No hay marcha atrás en el camino hacia una economía sostenible.

Tenemos la ocasión de hacer las cosas bien.
 
<U+0001F339> @salvadorilla

#PresidentIlla https://t.co/uPTtE6y9IK"
"67","Los progresistas tenemos el deber de luchar contra el cambio climático.
 
<U+0001F449>Con una transición ecológica equitativa <U+2696><U+FE0F>
 
En Cataluña, los socialistas nos comprometemos a aprobar un Plan Nacional para la Transición Energética Justa.
 
<U+0001F339> @salvadorilla
 
#PresidentIlla https://t.co/Y8ALFqF8Fn"
"68","El virus que nos asola procede de la ruptura de los equilibrios de los ecosistemas.

<U+0001F333><U+0001F30A><U+0001F326><U+FE0F><U+0001F3D4><U+FE0F> El respeto hacia la biodiversidad es garantía para la salud publica de los ciudadanos.

<U+0001F339> @Teresaribera 

#PresidentIlla https://t.co/MtHGBAuRjV"
"69","<U+0001F49A> La Agenda Verde es social.

<U+0001F3D9><U+FE0F><U+0001F333> Busca el equilibrio climático con la actividad económica y el equilibrio entre el mundo urbano y el mundo rural.

<U+0001F339> @Teresaribera 

#PresidentIlla https://t.co/MFoXISVZ01"
"70","De día y de noche, en cuerpo y alma, @salvadorilla se ha enfrentado a la tarea más dura a la que se puede enfrentar cualquiera.

Con esfuerzo, convicción, energía y buscando el CONSENSO.

<U+0001F339> @Teresaribera 

#PresidentIlla https://t.co/AxhtJY3adp"
"71","<U+0001F534> #ENDIRECTO #ENDIRECTE| @salvadorilla con la vicepresidenta cuarta y ministra de @mitecogob, @Teresaribera.

<U+0001F333><U+0001F30D> ""El reto de la transición ecológica y energética, una oportunidad económica"".

#PresidentIlla 
#VotaPSC /<U+2764><U+FE0F> https://t.co/68nbNZuEXV"
"72","<U+0001F339><U+0001F5D3><U+FE0F> A partir de las 17:30h.
 
<U+0001F4AC> ""El reto de la transición ecológica y energética, una oportunidad económica"".
 
<U+0001F5E3><U+FE0F> @salvadorilla
<U+0001F5E3><U+FE0F> @Teresaribera
<U+0001F5E3><U+FE0F> @jterrades
<U+0001F5E3><U+FE0F> Silvia Romero
 
<U+0001F534> ¡Síguelo en nuestras redes sociales!
<U+25B6><U+FE0F> https://t.co/lHhcEIDPPS
 
#PresidentIlla
#VotaPSC /<U+2764><U+FE0F> https://t.co/4Zx7oOBAq5"
"73","Al deber urgente de luchar contra el cambio climático se nos suma un segundo deber: asegurar que la transición ecológica sea una transición justa. 

Más justicia ecológica es también más justicia social. https://t.co/Pg4A77aIYq"
"74","<U+0001F339>@Adrilastra : “Registramos esta proposición de ley con el ánimo y el objetivo de mejorar la calidad de nuestra democracia y hacer posible que las personas que residen en el extranjero puedan ejercer su derecho a voto con mayor facilidad”.

<U+0001F5F3><U+FE0F> <U+0001F64C>

<U+21E9> Lee la nota de prensa <U+21E9> https://t.co/coPUd5RWTZ"
"75","Productivo encuentro con el CEO de Airbus, @GuillaumeFaury. Mantenemos nuestro compromiso de apoyar a la industria aeronáutica ante las consecuencias de la pandemia. Es un sector estratégico y trabajamos para garantizar su viabilidad y competitividad.

https://t.co/rNq7odTbOf https://t.co/5842h2Y05d"
"76","En el #DíaMundialContraElCáncer, mi apoyo a todas las personas que se enfrentan a esta enfermedad y el agradecimiento a quienes les cuidan y trabajan para combatirla.

Una lucha de todos y todas para la que la investigación, la prevención y el diagnóstico precoz son vitales. https://t.co/1HsKcIs5z6"
"77","En el #DiaMundialContraElCancer todo mi apoyo a las personas que están luchando contra esta enfermedad y a sus familias, así como a aquellos y aquellas que han perdido a un ser querido.

La ciencia avanza. Trabajemos para que lo siga haciendo y con ello aumente la esperanza. https://t.co/1dTfhCtqKz"
"78","Hoy es el #DíaMundialContraElCáncer para hacer nuestro homenaje a todas las personas luchadoras que conviven con la enfermedad. Todo mi apoyo y solidaridad. Y mi gratitud a los profesionales que luchan contra esta enfermedad en hospitales y en centros de investigación."
"79","<U+270A> Reivindicamos el ORGULLO de 141 años de lucha, compromiso y dignidad.
 
Ese es el hilo invisible que nos ata a través del tiempo en esta <U+0001F1EA><U+0001F1F8> España plural y diversa que tejemos día a día con palabras y hechos.
 
Lee el editorial de ""El Socialista"" <U+0001F339>
https://t.co/bLxUbmpWho https://t.co/IEKr7yD8M9"
"80","Casado debe dar explicaciones y NO esconderse.

Lo dicho por #Bárcenas añade gravedad a la gravedad.
La financiación irregular en el #PP es pasado y presente.

Rajoy y otros colaboradores deben comparecer ante la Comisión #Kitchen.

<U+0001F399><U+FE0F> @Ander_Gil 

#LaEspañaQueNosMerecemos https://t.co/QBnRToSH8p"
"81","<U+0001F339>Diálogo sobre transición ecológica <U+0001F333><U+0001F30D>

<U+0001F5E3><U+FE0F> @salvadorilla No hay otro camino que transformar la economía a sostenible y con justicia social.

#Cataluña debe recuperar el liderazgo de la transición ecológica.

#PresidentIlla https://t.co/d1Pw5eoJz2"
"82","<U+0001F339>Diálogo sobre transición ecológica <U+0001F333><U+0001F30D>

<U+0001F5E3><U+FE0F> @salvadorilla Impulsaré una nueva Ley de Barrios con capítulo fundamental en la rehabilitación sostenible y transporte público.

<U+0001F5E3><U+FE0F> @Teresaribera Agenda ambiental y sostenibilidad social.

#PresidentIlla https://t.co/qNXm97jLG8"
"83","<U+0001F339>Diálogo sobre transición ecológica <U+0001F333><U+0001F30D>

<U+0001F5E3><U+FE0F> @salvadorilla Hay una Cataluña vaciada que me propongo revertir para garantizar la igualdad de derechos.

<U+0001F5E3><U+FE0F> @Teresaribera Tenemos ganas de verte impulsando el equilibrio entre el mundo urbano y el rural.

#PresidentIlla https://t.co/bj1lIEbWrc"
"84","<U+0001F339>Diálogo sobre transición ecológica <U+0001F333><U+0001F30D>

<U+0001F5E3><U+FE0F> @salvadorilla En Cataluña hemos perdido 10 años en esta materia.
Propongo un nuevo Acuerdo Verde para la década 2021-2030.

<U+0001F5E3><U+FE0F> @Teresaribera Importante impulsar la suma salud pública + medio ambiente.

#PresidentIlla https://t.co/M8JdxwpKbA"
"85","<U+0001F534> #ENDIRECTO #ENDIRECTE|  Diálogo del candidato a la presidencia de la Generalitat, @salvadorilla, y la vicepresidenta cuarta y ministra de @mitecogob, @Teresaribera.

<U+0001F333><U+0001F30D> ""Diálogo sobre transición ecológica"".

#PresidentIlla 
#VotaPSC /<U+2764><U+FE0F> https://t.co/lYo9B28TiB"
"86","En la lucha contra el cáncer todos/as debemos ir en la misma dirección. Sigamos impulsando la investigación porque en ella está la esperanza. Gracias a quienes trabajan para combatir esta enfermedad y toda la fuerza para las personas que pasan por ella.

#DíaMundialContraElCáncer https://t.co/7aCVaWGnSR"
