"","x"
"77","Esto debería bastar para que se escondiese debajo de una mesa para siempre. Pero no, sus amigos lo invitarán a dar lecciones a todo el mundo, los medios le darán coba y Casado saldrá a presumir de maestro. ¡Ni media lección de esta panda de ladrones!

https://t.co/PncZy6qbrW https://t.co/k8GprYkLHG"
"78","El PP, ese circo ambulante que saca tarjetitas en el Congreso de los Diputados. Un espectáculo bochornoso. Sin ninguna alternativa. Falsos patriotas que prefieren ver a España en la ruina que gobernada por otros. https://t.co/qe6TaQaTdM"
"79","Tremendo.

La gerente del Hospital de Alcalá de Henares propone quitarles el móvil a los pacientes covid para que cuando les trasladen al Zendal no puedan avisar a su familia ni resistirse.

https://t.co/j1TIFXmaCM"
"80","¿Qué es la despatologización de las personas trans y por qué es tan importante en la nueva Ley Trans?

@isaserras lo explica en un minuto <U+0001F447> #LaNoche24h https://t.co/2EvhoEGVB6"
"81","<U+0001F4FA> ""Es una buenísima noticia que la Ley Trans se ponga en marcha en nuestro país. Somos un país pionero en derechos LGTBI y hay que avanzar para cumplir los derechos humanos frente a la discriminación que sufren las personas trans"".

@isaserras en #LaNoche24h https://t.co/4eaenXWnWs"
"82","<U+0001F4FA> ""El PP no quiere renovar el CGPJ porque, ya que no puede estar en el Gobierno, pretende controlar las instituciones del Estado por otra vía. Está dejando al CGPJ sin legitimidad democrática. Es una vergüenza"".

@isaserras en #LaNoche24h https://t.co/MvD6TrfaoW"
"83","<U+0001F4FA> ""Después de lo de hoy ya no quedan más excusas para investigar a Mariano Rajoy y a otros miembros del PP. Sería alucinante que después de la información de hoy se les siguiera protegiendo"".

@isaserras en #LaNoche24h https://t.co/00Juq7kXmC"
"84","Una deuda pendiente, y un paso fundamental en la recuperación de derechos para los compatriotas que viven en el exterior. 
Un derecho que les fue arrebatado. 
La garantía del derecho a votar! El derecho a ser escuchados!  https://t.co/yFpgMmuA0j"
"85","Lo que ha ocurrido hoy con Bárcenas y el PP ya nos lo adelantó 'B, la película'.

Y no, no era ficción, era la corrupción en estado puro que este país ha sufrido con el PP durante décadas.

Que no vuelvan a gobernar nunca más. https://t.co/AKwe1TS0pm"
"86","<U+0001F4FD><U+FE0F> @jessicaalbiach: ""La sanitat és un transatlàntic i considerem que  ha d’anar cap a la desmercantilització, dotant-la de recursos i posant la salut física i mental al centre"".

#SanitatPúblicaCatMereix https://t.co/cmCCvWXjEv"
"87","El PP sigue en su línea de siempre. Colapsan los servicios públicos que funcionan para venderlos a sus amiguetes. 

¿Os suena? https://t.co/vGiM1r7r0j"
"88","<U+0001F3A5>@jessicaalbiach: ""Hem perdut una dècada.

Els governs de CiU han aprofundit en les retallades i les mancances del model sanitari, que és un entramat entre allò públic, privat i concertat. 

ERC tampoc ha fet la volta de mitjó que necessita el model.""

#SanitatPúblicaCatMereix https://t.co/pislSEdGYi"
"89","<U+0001F4FD><U+FE0F> @jessicaalbiach: ""Les professionals treballen en condicions precàries i tenim un sistema afeblit.

Les retallades maten i tenen conseqüències directes sobre la salut de les persones"". 

#SanitatPúblicaCatMereix https://t.co/PGsZTsvlGD"
"90","<U+0001F4FD><U+FE0F> @jessicaalbiach: ""JxCat al frente del departamento de salud sería como poner al lobo a cuidar de las ovejas, pero por otro lado ERC, que ha estado al frente del departamento en los últimos 5 años, ha seguido extrenalizando, con privatizaciones y no ha revertido los recortes"". https://t.co/lZ9C2sO114"
