"","x"
"68","<U+0001F4F0>[NOTÍCIA] @junqueras  alerta que el <U+274C>PSC pactarà amb el feixisme de Vox i amb Cs, i demana concentrar el <U+0001F4E9>vot en @Esquerra_ERC  per frenar-los

<U+0001F5E3><U+FE0F>@perearagones fa una crida a tenyir les urnes de <U+270A>groc republicà 

<U+0001F4F2>Llegeix-ho<U+0001F447>
https://t.co/7MMHKX7jwn"
"69","Quina barra! Ens en sortirem tot i la ràbia que em provoquen. Ara és quan, de nou  necessitem el cap fred i seguir endavant. #semprealteucostat @TamaraVila83 .
La fiscalia manté la persecució de Tamara Carrasco i porta el seu cas al Suprem https://t.co/hveCFHPpOa"
"70","@ForcadellCarme: ""La gent m'ha donat molta força per passar aquests 1.049 dies a la presó i estic convençuda que la gent anirà a votar. Ho hem de fer pel futur, però també per tots els que hem viscut l'1 d'octubre i pels qui estan represaliats"" https://t.co/9KK3uUnS39"
"71","@ForcadellCarme: ""Aneu a votar. Entenc que tinguem por, però demà és el darrer dia per votar per correu, si teniu por aneu-hi, i si no en teniu protegiu-vos i aneu a votar. Si no guanya @Esquerra_ERC ho faran els del 155, els que ens volen a la presó"". https://t.co/C8Q0TzAfYI"
"72","<U+2640><U+FE0F>Al seu costat aprens a fer política amb la gent i per la gent. Lluny de sorolls innecessaris, lluny de generar crispació com a eina, elles sumen, escolten a la gent i amb una mirada feminista en tot el què fan, transformen.  @ForcadellCarme @dolorsbassac el #14F @Esquerra_ERC https://t.co/TcKAN6zflm"
"73","Avui ens hem reunit amb el sector turístic, amb empreses que treballen el producte de proximitat i hem acabat amb el debat de l'ANC Girona. Estem #AlCostatDeLaGent, hi parlem, debatem i aprenem per seguir avançant i guanyar la República Catalana. https://t.co/r6zUKtJRaE"
"74","El nou Trueta<U+0001F3E5> és un exemple de les potencialitats de l'àrea urbana gironina.

Col·laborant entre municipis generem un impuls per l’equilibri socioeconòmic i ens posem un cop més al servei dels nostres veïns i veïnes. #AlCostatDeLaGent #Salt @Esquerra_ERC
https://t.co/etwhoRZFP3"
"75","Junqueras alerta de l'ascens de Vox i erigeix ERC com l'únic partit que pot ""aturar el feixisme"". https://t.co/bTHgQkhlmo"
"76","<U+0001F4E3> Aquest divendres, l'@ernestmaragall, núm. 7 d'@Esquerra_ERC per Barcelona a les eleccions, participa del #CicleElectoral14F de @FomentTreball 

A partir de les 8.30 h, podeu seguir-lo en directe aquí <U+0001F447>
https://t.co/nWpHNNs5VC https://t.co/dkpMTo47BT"
"77","Necessitem més alcaldes i alcaldesses, necessitem més diputats i diputades i necessitem un president de la Generalitat republicà i d’esquerres com ho és @perearagones https://t.co/BPyRua89Wy"
"78","El seu coratge, la seua intel·ligència i la seua lleialtat fan que la Jordina sigui una valuosa candidata al @parlamentcat. La @jfreixanet és una representant d’elevada competència i una de les millors persones amb qui he coincidit en el tauler de la política. https://t.co/97BURFefGg"
"79","Sento la satisfacció de ser el primer alcalde republicà de #Lleida des de la Guerra Civil. Quan encara no han passat ni dos anys de la legislatura municipal, @erclleida hem triplicat els vots obtinguts i ens hem convertit en el govern del canvi honest. https://t.co/N9DryHxhfG"
"80","Immens acte de campanya avui a Lleida amb @MiquelPueyo, @jfreixanet, @bernatsole, @MeritxellSerret, @martavilaltat, @junqueras i @perearagones.
El #14F hem d’omplir les urnes de vots republicans contra el feixisme, per la República, per l’amnistia i per estar #AlCostatDeLaGent <U+270A><U+0001F3FB> https://t.co/byqhNaGcjg"
"81","<U+0001F3A5> [VÍDEO] @perearagones: ""Ahir Pedro Sánchez començava a aplanar el camí. Es comença blanquejant a l'extrema dreta, qualificant-los de gent amb sentit d'Estat, i s'acaba pactant <U+0001F91D> amb ells"" #AlCostatDeLaGent https://t.co/4f6G2UxhMk"
"82","<U+0001F3A5>@junqueras: ""El #14F hem de defensar la catalanitat, els valors republicans i la democràcia i l'hem de defensar contra aquells que l’amenacen cada dia. Perquè si en aquest país hi ha algú q està preparat i que sap com derrotar el bloc del 155 és @Esquerra_ERC"" #AlCostatDeLaGent https://t.co/ZinfcSRyB6"
"83","<U+0001F3A5>@junqueras: “Hi ha un partit feixista que ens odia i que amenaça en entrar al Parlament. Però hi ha una amenaça més gran: que el PSC accepti els seus vots. L’únic partit que ho pot evitar és @Esquerra_ERC. Estem cridats a mobilitzar-nos!"" #AlCostatDeLaGent

<U+2757><U+FE0F>Mira el discurs!<U+0001F447> https://t.co/H4O1o3GaZj"
"84","<U+0001F3A5>[VÍDEO] @martavilaltat: ""La resposta ara és camí cap a la independència<U+270A> des de les polítiques d’esquerres<U+0001F46B>. Això només ho pot representar @Esquerra_ERC, com ja estem fent a la Diputació de Lleida i a La Paeria"" #AlCostatDeLaGent https://t.co/QeprxmkwBh"
"85","<U+0001F3A5>[VÍDEO] @MeritxellSerret: ""@Esquerra_ERC som els únics capaços de liderar la transformació del país, per superar la crisi #AlCostatDeLaGent i fer camí cap a l'autodeterminació <U+0001F5F3><U+FE0F> i l'amnistia<U+0001F397><U+FE0F>"" https://t.co/ON6mp3lKJc"
"86","<U+0001F3A5>[VÍDEO] @bernatsole: ""Tenim una oportunitat per omplir les urnes de vots republicans<U+270A>. Fem-ho, sinó ho faran els altres <U+274C>"" #AlCostatDeLaGent https://t.co/dcJdx6JXIF"
"87","Puc dir que tinc la sort de treballar amb la @PilarVallugera! https://t.co/d2ut51czaq"
"88","<U+2757> Avui, Oriol @junqueras en directe!

<U+0001F397><U+FE0F> Des de Lleida amb <U+0001F5E3><U+FE0F> @perearagones, @martavilaltat, @MeritxellSerret, @bernatsole i més! #AlCostatDeLaGent

<U+0001F555>18h
<U+0001F4BB>En streaming<U+0001F447>
https://t.co/6i8wahrqtW"
"89","Acte central de campanya <U+0001F4E2> aquest disssabte a les 12h amb @PauVilassar  @keniadomenech @RutRibas @MartaRosiq @perearagones i @martarovira <U+2757><U+FE0F>#PrenemElRelleu

Us podeu inscriure al següent enllaç: https://t.co/jGuxqU6wiG https://t.co/824aNOUT9t"
"90",".@perearagones explica que el govern d'@Esquerra_ERC sera un govern transformador per donar resposta als reptes globals que hem d'afrontar. I per reaccionar davant l'emergència climàtica, proposem la creació d'una conselleria des d'on liderar l'agenda verda del país <U+0001F49A> https://t.co/G5ncBSBrkg"
"91","Mirada modernitzada, mirada de futur, mirada que transforma i s'adapta a les noves necessitats de govern. Volem d'un govern àgil i progressista.
#AlCostatDeLaGent 
@Esquerra_ERC https://t.co/i24PZEIFcn"
"92","FIL D'ALT NTERÈS per a les #pimes que tenen dubtes sobre la participació als fons #NextGenerationEU #NGEU <U+0001F447><U+0001F447><U+0001F447> https://t.co/OwuSxqpgB7"
"93","La Fiscalia de nou contra @TamaraVila83 Una vergonya més!!
El novembre vaig entrar aquestes preguntes i el “Gobierno” respon sense transparència.Tornarem a insistir tantes vegades com faci falta com fem amb totes les represaliades <U+0001F4AA> https://t.co/C6ab9jQpz7"
