"","x"
"90","<U+0001F535> En unos minutos, en directo @DolorsMM, @TonoEPP y @ManfredWeber participan en un acto de apoyo a la candidatura de @alejandroTGN. 

#UnaCataluñaMejor https://t.co/8vf5Z1gUH1"
"91","Iglesias señala a medios y periodistas como vendidos al poder. El único vendido al poder es él.

Denunciaba las cloacas y ahora forma parte de ellas.

Señalaba al @Rubiu5, pero calla con su portavoz condenado por defraudar a la Seguridad Social. https://t.co/fYOAGaaQ5f"
"92","Sánchez arranca el informe del Consejo de Estado del decreto de fondos europeos para ocultarlo a las Cortes.
Es un escándalo que puede anular el decreto y hunde más su reputación internacional.
Prende fuego al sistema para ocultar su negligencia.
España no merece este presidente. https://t.co/t94sqj13nq"
"93","Iglesias hace ruido y sigue sin responder a esta pregunta. ¿Quién arrancó el informe del Consejo de Estado que advertía de graves irregularidades en el reparto de los fondos europeos? https://t.co/Gbdnzi2TVY"
"94","¿Quién ocultó el informe del Consejo de Estado? ¿Quién dio la orden a la presidenta del Consejo para que lo metiera en el cajón? Es evidente que están incómodos, no han respondido a esta pregunta. 

#SesiónDeControl https://t.co/VBnKNo1JiB"
"95","Sánchez vuelve al Congreso tras mes y medio, con su cesarismo de señalar periodistas, presionar a jueces y bloquear el Parlamento.
Sigue en helicóptero de campaña y dice que la pandemia acelera proyectos, con 700 muertos diarios, 5 millones de desempleados y 2 en colas del hambre https://t.co/FBiMOKIgzc"
"96","<U+0001F7E2>@TeoGarciaEgea a Iglesias: “Sus enfrentamientos con Vox eran puro teatro y la moción de censura era fogueo, porque se necesitan y se retroalimentan”.

El Gobierno Frankenstein tiene un nuevo miembro<U+0001F449>Vox ha pasado de embestir a Sánchez a investirle para el resto de legislatura. https://t.co/rLQEwlnM61"
"97","<U+0001F534> @pablocasado_ a Sánchez: “¿Por qué ha arrancado el informe del Consejo de Estado del decreto de fondos europeos para ocultarlo a las Cortes?
Es la primera vez que se hace eso, y es un escándalo que puede anular el decreto y debilita aún más nuestra credibilidad internacional. https://t.co/kIMQZo0fNW"
"98","<U+0001F534> @pablocasado_ a Sánchez: “Presenta un decreto para los fondos europeos y se lo salvan los euroescépticos de Bildu y Vox. Enhorabuena: le han indultado el sambenito de ilegítimo y criminal. Imagino que ya no acusará a nadie de ultraderecha, ha pintado el Frankenstein de verde”. https://t.co/hpKET5i2Pm"
"99","Qué mejor que utilizar de niñera a una jefa de gabinete de tu ministerio. Esto es lo que deben pensar Iglesias y Montero...

<U+0001F534> ¿Para qué contratar a alguien y pagarle cuando pueden hacerlo las arcas del Estado? ¿Dónde queda la ejemplaridad?
https://t.co/ci7o6PKAFF"
"100","<U+0001F4FA> En unos minutos, a partir de las 09:00h., @pablocasado_ interviene en la #SesiónDeControl con una pregunta al presidente del Gobierno.

Te lo contamos.
¡No te lo pierdas! <U+0001F447><U+0001F3FC> https://t.co/jrc2kaBKDp"
"101","Buenos días y #FelizMiércoles <U+2615><U+FE0F>

Esta es nuestra agenda para hoy<U+0001F449><U+0001F3FC> https://t.co/3quq6ixg6u https://t.co/zqEp1ybPjU"
"102","<U+0001F4FA> ""Somos el partido de las propuestas"".

<U+0001F449><U+0001F3FC> @abeltran_ana
#UnaCataluñaMejor https://t.co/EO7cDcofoG"
"103","El día récord de víctimas por Covid desde abril con 724, el Gobierno no sabe qué va a pasar en Semana Santa.
Pero se dedica a hacer el primer acuerdo del tripartito PSC-ERC-Podemos (el jovencito Frankenstein del #14F) y pactan una reunión sobre la amnistía y la autodeterminación. https://t.co/hujEotsTs7"
"104","“El Partido Popular es el valor seguro que ha sido capaz de sacar Cataluña, España y Europa de las crisis. 
Nuestro proyecto quiere la convivencia de todos los catalanes y que Cataluña vuelva a ser una tierra de emprendimiento, pluralidad y libertad”.

<U+0001F4FA> @DolorsMM en #LaNoche24h https://t.co/oHAccqzATW"
"105","¿Dónde está el plan de vacunación de España?

Solo están previstos los centros de atención primaria y los hospitales, donde los sanitarios ya están saturados. Necesitamos nuevos puntos de vacunación y vacunación digital. 

<U+0001F4FA> @DolorsMM en #LaNoche24h https://t.co/16UvlTaLdE"
"106","<U+0001F4FA> A partir de las 22:00h., @DolorsMM estará en @Lanoche_24h.

Sigue la entrevista a nuestra portavoz en el Parlamento Europeo en tu TV o e el siguiente enlace<U+0001F449><U+0001F3FC> https://t.co/968Fwb3s6x https://t.co/EwtPeLtNAd"
"107","<U+0001F534> ""Los españoles queremos un ministerio de Sanidad que sonría menos y gestione más"".

<U+0001F4FA> @JavierMaroto https://t.co/01F4KrXJII"
"108","<U+0001F449>Minuto de oro de @Lroldansu en @debat_org #Preguntem14F 

#UnaCataluñaMejor https://t.co/CrHPRhkbtU"
"109","A pagar el IVA de las mascarillas, que hay que mantener al Gobierno más caro de la historia. https://t.co/v4TaAxBWwM"
"110","El turismo y la hostelería suponen el 30% de la riqueza nacional junto al comercio, movilidad, ocio y cultura asociados.
España debe seguir siendo el 1er país mundial en competitividad turística y gastronómica, para ello pedimos a los partidos que apoyen nuestro plan de rescate<U+0001F447><U+0001F3FB> https://t.co/G217HloW3d"
